index-SBgTUTBi.js:451 🔄 UNIFIED PIPELINE: Events: 2611 Incidents: 7400
index-SBgTUTBi.js:451 🏠 HOME LOCATION: Caloundra, Sunshine Coast Regional 4551, Queensland COORDINATES: {lat: -26.7981633, lon: 153.1354434} RADIUS: 50km
 👤 USER INCIDENT: {id: 'user:c448b400-c1ce-4bb9-b5b1-55f963f0144c', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2b752aa5-9537-427d-b6ca-729c61b8ab32', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:544322c6-4682-411f-84a3-f07afca9cc4c', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e4c1b2c2-7995-404b-a154-302d38248ef6', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e8c39f2e-063c-4471-be62-b4ce8580a806', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e8a373e6-451d-44af-a813-1b5148ed70a0', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ccbdfb72-5f9b-4e91-9900-cdc85915f412', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:62d3df41-40de-4c4d-963d-fcf1d9568a39', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a842415d-2046-4289-b5d3-23bc1e9f7bb1', title: 'FIRE VEGETATION - Peninsula Developmental Rd, ARCHER RIVER', location: 'Peninsula Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ca21f064-2fc8-42b1-8d75-3faa5cd8fa7b', title: 'FIRE PERMITTED BURN - STARDUST LANE, PRATTEN', location: 'STARDUST LANE', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dd92d98c-6b79-40bf-b2b6-197cc0e29ea6', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5d8ded55-1dc0-4508-a0b6-3070bab2c01d', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dadeefc7-2fe8-4143-b7bd-644b54c82969', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ad3de85f-ced1-4f30-93bd-b64b3725b46e', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:283a95bd-0954-42ba-8b6f-87e4258494af', title: 'FIRE VEGETATION - AUBURN HILLS RD, WATERANGA', location: 'AUBURN HILLS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9dcaeaff-f4e4-4e65-83db-61e20e4e1729', title: 'FIRE PERMITTED BURN - STARDUST LANE, PRATTEN', location: 'STARDUST LANE', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4deeb7b0-33e9-4d81-8cf6-39d5978d1a4e', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5168f02f-d59d-4537-84ff-1101cd7ad0c0', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:cd133d40-bf4a-4e20-b23b-fc8af1245b21', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f5a0794e-07c4-4592-91f7-e62f407ed65c', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ccd74aba-ceb2-493e-832e-7ce616a56efc', title: 'FIRE VEGETATION - AUBURN HILLS RD, WATERANGA', location: 'AUBURN HILLS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bffcf6e2-6189-42e6-9a8c-54c8eacb6b04', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f7f4b80c-7798-4e9d-9706-625d29afbd9e', title: 'FIRE PERMITTED BURN - Fernlee Rd, BOLLON', location: 'Fernlee Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bfac8eac-4869-467e-9495-b31bd93a9173', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:97ac72c1-d11c-48dd-b758-e50b0c75553a', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9790b900-b959-40bd-936d-070df2d4aef5', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:47110ef8-2739-4d93-acfc-bfe04bbf4599', title: 'FIRE VEGETATION - AUBURN HILLS RD, WATERANGA', location: 'AUBURN HILLS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6eb1e311-9b8a-40c2-b155-0ace81eb9256', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f152db1c-470a-4bfb-b9a8-113ddfe7f84c', title: 'FIRE PERMITTED BURN - Fernlee Rd, BOLLON', location: 'Fernlee Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:65ab06da-13c5-46c4-9dc0-5954c91c54ae', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d33b16aa-b09f-4d66-9086-867573763b28', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:431c223f-a284-4d95-a4de-7aaa8834c5ee', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5c6b5dda-97ab-4b65-87f8-450760d8bb97', title: 'FIRE VEGETATION - AUBURN HILLS RD, WATERANGA', location: 'AUBURN HILLS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5c93d5f8-50cc-46e7-816a-56ed88175a7d', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e36e6428-7183-40c0-ac78-fc5e31b7ed07', title: 'FIRE PERMITTED BURN - Fernlee Rd, BOLLON', location: 'Fernlee Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:174ee001-f93d-485c-99e3-3390100b83d8', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fbf8d8fa-2deb-438d-b02b-00d00fd5c18e', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fe419c6e-d206-4311-95e5-a7ea50b8f3ce', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0cc8fa28-c86a-462e-94a2-31ec8840a4d3', title: 'FIRE VEGETATION - AUBURN HILLS RD, WATERANGA', location: 'AUBURN HILLS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bc3b017e-5998-41b9-af1f-7c5312fcb72a', title: 'FIRE PERMITTED BURN - Carnarvon Hwy & Noondoo Thallon Rd, THALLON', location: 'Carnarvon Hwy & Noondoo Thallon Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:517ef148-9d7c-4be4-ae5d-efab7fd3e9aa', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:69d84c6f-3a7d-4112-b927-881b7e11bff8', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:23c66dc8-eb57-4ed9-84f1-c254e44dd09c', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4d86651c-39c7-416f-9213-81946b6efd2f', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3f1c6df5-7c3d-4f61-adce-67d6e5f264a4', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f9224f29-fccf-4d0e-9399-b8e6225c8701', title: 'FIRE PERMITTED BURN - Carnarvon Hwy & Noondoo Thallon Rd, THALLON', location: 'Carnarvon Hwy & Noondoo Thallon Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d40c4c04-2269-43a9-b554-48a27293cd5e', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:54962029-8281-4901-af95-7a9383cbf081', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3271e4ab-435b-4576-bef6-3cf83f20494a', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d2186561-0de7-48c2-b31c-5e844d6c692e', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bdce06c4-3624-4a2d-aa56-a5ac26328552', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e9fc4194-3aaa-4c42-85db-c72184f310f0', title: 'FIRE PERMITTED BURN - Carnarvon Hwy & Noondoo Thallon Rd, THALLON', location: 'Carnarvon Hwy & Noondoo Thallon Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1d622d29-c72f-4443-89de-6a7d5e4c3003', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:272414e2-9bf7-4e2f-95a9-26bc845033aa', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f6895ace-839c-4394-9575-2fe47fa040b4', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:45d75297-5ac8-44aa-9f64-eb04ae74828b', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:df343021-9357-4a2a-8023-42dc8a15f5fd', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9ca34fab-9693-4d36-b985-6835f727146a', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2d885036-620d-4ba6-8ec3-42de75fc568d', title: 'FIRE VEGETATION - GLASTONBURY CREEK RD, AMAMOOR CREEK', location: 'GLASTONBURY CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d304e171-1fc2-4730-a3af-90e3e44d44b3', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f0fa7dc8-4edd-4308-9ab1-ee3e1390131b', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:480feafa-e08c-47d0-b963-e21350ceef16', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b875f212-b94b-488d-81f8-47209f9b32e9', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:20040b5d-04c9-4938-908c-39ce0bb56a2d', title: 'FIRE PERMITTED BURN - Emu Creek Rd, EMU VALE', location: 'Emu Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c278878f-e099-4210-913b-a1d29e5947c5', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5bf7ed18-ee6d-471d-8322-8deb41edfdc0', title: 'FIRE VEGETATION - GLASTONBURY CREEK RD, AMAMOOR CREEK', location: 'GLASTONBURY CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:57f8c37d-6bb7-459d-a760-f1bad39b9592', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3a413cb8-9603-4301-8baa-39883f108a98', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:15e46dd7-5194-454c-8b59-027d9ddc1c33', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e34f7182-11a6-4f16-a514-bf6a501cf9c2', title: 'FIRE VEGETATION - Toe Holt Rd, FERNY GLEN', location: 'Toe Holt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c7d0557a-bc3a-4881-8072-041a80fe80a1', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:99dac586-aadb-4909-9c64-8d9dd1e3e0b5', title: 'FIRE VEGETATION - GLASTONBURY CREEK RD, AMAMOOR CREEK', location: 'GLASTONBURY CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:13ba477b-6af1-4b08-8bda-f50b02c94e0e', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5c859e0e-588c-4d99-833b-cd0e208b29b8', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0b433e42-d167-45a3-a353-060a832f3bab', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b8a7e316-eca3-485a-9bff-4a445e75f1c4', title: 'FIRE VEGETATION - Bruce Hwy, CLEMANT', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9b25a0d3-f245-421a-ac88-76b5b88a0e25', title: 'FIRE VEGETATION - Pratt Rd, KOUMALA', location: 'Pratt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fe583e69-2040-4cd0-aafb-8e0b1ab440cb', title: 'FIRE VEGETATION - GLASTONBURY CREEK RD, AMAMOOR CREEK', location: 'GLASTONBURY CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1ef98466-3a8f-4366-a7b4-a1f596975ff5', title: 'FIRE VEGETATION - Brian Pastures Rd, BAN BAN', location: 'Brian Pastures Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8605d2f7-7ddd-4bc6-a755-3dc79e11cb10', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:48dd99f3-9e09-499e-9e97-07c436046bbd', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d7780039-2e1d-448d-9c4f-ee1c2afcd9cd', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6579f498-1618-4cfb-a918-85f7621cb714', title: 'FIRE VEGETATION - Boodua Picnic Ground Rd, BOODUA', location: 'Boodua Picnic Ground Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0f45f88b-18c9-4dd1-913c-b2eafd90f37b', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3a4d91fa-9a2e-4015-994c-b4d55a9be46d', title: 'FIRE VEGETATION - Coast Rd, STUART', location: 'Coast Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1a2c6066-803e-4140-afab-c729dad8c6ae', title: 'FIRE VEGETATION - Boodua Picnic Ground Rd, BOODUA', location: 'Boodua Picnic Ground Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1a21e9fc-8f1b-4589-aa4b-a722db1b3016', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:60fbb5c4-dbf2-4dd0-b24e-175fc31fc8d5', title: 'FIRE VEGETATION - WILD RIVER RD, MILLSTREAM', location: 'WILD RIVER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b3e922d0-dcd6-4ea2-a7a0-c45232f37b88', title: 'FIRE VEGETATION - NORTH SHORE BVD, BURDELL', location: 'NORTH SHORE BVD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:77c39b05-c36d-4781-9dfa-710836c13009', title: 'FIRE VEGETATION - GLENCOE RD & K DUFF RD, MELROSE', location: 'GLENCOE RD & K DUFF RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:599242f7-5993-471c-bcab-5e69a5a31394', title: 'RESCUE ROAD CRASH - IPSWICH MWY EB, REDBANK', location: 'IPSWICH MWY EB', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3a44f3d6-db90-42c9-b12c-6217a5d6f641', title: 'FIRE STRUCTURE - NOOSA PDE, NOOSA HEADS', location: 'NOOSA PDE', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ac26f665-7860-414e-a15b-3c8438b7050d', title: 'FIRE VEGETATION - Pratt Rd, KOUMALA', location: 'Pratt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:16d98532-72e7-420d-a070-11b0e22b7a3a', title: 'FIRE VEGETATION - Bruce Hwy, CLEMANT', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:499ffd2e-ace8-4b46-a545-b7b95e6f97d5', title: 'FIRE VEGETATION - CANAL CREEK RD, CANAL CREEK', location: 'CANAL CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:140b718a-7296-4479-9f38-e94bd087766e', title: 'FIRE VEGETATION - GLASTONBURY CREEK RD, AMAMOOR CREEK', location: 'GLASTONBURY CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:87ad4d2f-1258-4c70-af00-91c996ade4de', title: 'FIRE VEGETATION - Brian Pastures Rd, BAN BAN', location: 'Brian Pastures Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7e559a0c-8c02-451b-80ae-51fd9fbc8f72', title: 'FIRE VEGETATION - Cunningham Hwy, TREGONY', location: 'Cunningham Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:422484ae-45af-4ae5-a3eb-861ac371e1f5', title: 'FIRE VEGETATION - Mount Victor Rd, WIDGEE', location: 'Mount Victor Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2e30698d-b218-4aae-85d5-ca58a4d420d1', title: 'FIRE VEGETATION - Auburn Hills Rd, DIDCOT', location: 'Auburn Hills Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5d0f3868-c0b3-4f76-9b52-138343d0a543', title: 'FIRE VEGETATION - Boodua Picnic Ground Rd, BOODUA', location: 'Boodua Picnic Ground Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:418e13e3-3bf1-430d-8d56-4ac46c290cce', title: 'FIRE VEGETATION - Kingsway Pl, TOWNSVILLE CITY', location: 'Kingsway Pl', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:640c66a7-7ff2-4655-8f28-644b6c1ec7ae', title: 'FIRE VEGETATION - North Shore Bvd, BURDELL', location: 'North Shore Bvd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:80f19ded-dfc5-44e4-8e99-15ca98c97c7c', title: 'RESCUE ROAD CRASH - LE GEYT ST & LUTWYCHE RD, WINDSOR', location: 'LE GEYT ST & LUTWYCHE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b93a989f-260d-49d9-89ae-1f991d23c95a', title: 'HAZMAT ALL - Frank St, LABRADOR', location: 'Frank St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:962d435b-1657-40c5-9523-2219aa4c3f8b', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:feb0759f-5022-41c5-84bb-03e0554526fc', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9400af5e-44a0-407d-ab5d-284279a48b94', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2362263e-c3f9-4909-bfa6-4450cba13805', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0b1d9722-dc1f-49c3-aaad-6bfad76c0c11', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4c530fa3-b6d2-4d79-97a0-13975b58c824', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:39edf0d1-a96f-4bfc-b9fd-72cb43dececd', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:79f4b892-7629-4c70-93f6-a12a6b0f057d', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7d83134b-ff6c-454d-bfae-cf14b748bbd9', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b56dc3df-de78-4fd2-905f-50b0ba31a310', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:669935e5-4d74-4f5b-afdd-436cf525821c', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1140598b-1b40-4f38-b436-82df0f2cf29f', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5a699c50-c67a-4e24-91e4-ea853240131e', title: 'RESCUE ROAD CRASH - LINE HILL RD, LOCKHART RIVER', location: 'LINE HILL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7be06368-41dd-4b37-aa65-a7c9aada929e', title: 'FIRE OTHER - James St, MALANDA', location: 'James St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:afc3b073-b2eb-48b4-a3d2-3749541e08a6', title: 'RESCUE ROAD CRASH - DAVID LOW WAY, BLI BLI', location: 'DAVID LOW WAY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:52f0d2bc-bcb4-4d6d-a996-5d00474fbc88', title: 'FIRE OTHER - Lyndon Way, KARALEE', location: 'Lyndon Way', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:481bad0c-5922-4e5f-9519-a1a8e83a68d6', title: 'RESCUE ROAD CRASH - BUNKER RD & DOUBLE JUMP RD, MOUNT COTTON', location: 'BUNKER RD & DOUBLE JUMP RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2709f2d6-7e00-4941-a287-7a527e321e9a', title: 'FIRE VEGETATION - Darwin Rd, BAUPLE', location: 'Darwin Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:af1d31e1-2118-41de-85e7-3c6f960950dd', title: 'RESCUE ROAD CRASH - PETER DELEMOTHE RD, BOGIE', location: 'PETER DELEMOTHE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9a447b1b-d5ff-4f6e-9541-819a4cef54a9', title: 'FIRE PERMITTED BURN - Waynes Lane, BOULDERCOMBE', location: 'Waynes Lane', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2740584a-2d6c-4c3f-94d1-b94ac7df1418', title: 'FIRE VEGETATION - Lowe Rd & Dawn St, JULAGO', location: 'Lowe Rd & Dawn St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fabd6f64-39c8-4b67-986b-dc957a006b67', title: 'FIRE PERMITTED BURN - Rolfe Creek May Downs Rd & Fitzroy Developmental Rd, MAY DOWNS', location: 'Rolfe Creek May Downs Rd & Fitzroy Developmental Rd', hasCoordinates: true}
